player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Denil Castillo,Ecuador,Ecuador,MF,22-088,2004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enner Valencia,Ecuador,Ecuador,FW,36-228,1989,Pachuca,1,1,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.18,0.0,0.0,,76.0,84.4,76.0,0,0,,0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,2.0,4.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Félix Torres Caicedo,Ecuador,Ecuador,DF,29-160,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Plata,Ecuador,Ecuador,FW,25-231,2000,Flamengo,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,90.0,100.0,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,0.0,1.0,0.0,0.0,2.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Gonzalo Valle,Ecuador,Ecuador,GK,30-112,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hernán Galíndez,Ecuador,Ecuador,GK,39-082,1987,Huracán,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jackson Porozo,Ecuador,Ecuador,DF,25-320,2000,Tijuana,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,29.0,32.2,,0,1,29.0,0,0.0,0.0,1.0,-1.0,-3.1,-3.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jeremy Arévalo,Ecuador,Ecuador,FW,21-093,2005,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ordóñez,Ecuador,Ecuador,DF,22-060,2004,Club Brugge,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
John Yeboah,Ecuador,Ecuador,MF,25-362,2000,Venezia,1,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.43,0.0,0.0,,61.0,67.8,61.0,0,0,,0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jordy Alcivar,Ecuador,Ecuador,MF,26-319,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordy Caicedo,Ecuador,Ecuador,FW,28-214,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendry Páez,Ecuador,Ecuador,MF,19-047,2007,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Rodríguez,Ecuador,Ecuador,FW,26-108,2000,Union SG,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,14.0,15.6,,0,1,14.0,0,0.0,0.0,1.0,-1.0,-6.43,-6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Moisés Caicedo,Ecuador,Ecuador,MF,24-230,2001,Chelsea,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,0.0,3.0,2.0,0.0,4.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Moisés Ramírez,Ecuador,Ecuador,GK,25-284,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilson Angulo,Ecuador,Ecuador,"FW,MF",23-001,2003,Sunderland,1,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,35.0,38.9,,0,1,35.0,0,0.0,0.0,1.0,-1.0,-2.57,-2.57,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Pedro Vite,Ecuador,Ecuador,MF,24-103,2002,UNAM,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Pervis Estupiñán,Ecuador,Ecuador,"DF,MF",28-150,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piero Hincapié,Ecuador,Ecuador,DF,24-162,2002,Arsenal,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,0.0,0.0,1.0,0.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Willian Pacho,Ecuador,Ecuador,DF,24-247,2001,PSG,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Yaimar Medina,Ecuador,Ecuador,"DF,MF",21-227,2004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ángelo Preciado,Ecuador,Ecuador,"DF,MF",28-122,1998,Atlético Mineiro,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,29.0,32.2,,0,1,29.0,0,0.0,0.0,1.0,-1.0,-3.1,-3.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ahmed Fatouh,Egypt,Egypt,DF,28-090,1998,,1,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,87.0,96.7,87.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
El Mahdy Soliman,Egypt,Egypt,GK,39-012,1987,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emam Ashour,Egypt,Egypt,MF,28-120,1998,,1,1,68.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.32,0.0,1.32,1.32,1.32,2.0,1.0,50.0,2.65,1.32,0.5,1.0,68.0,75.6,68.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Haissem Hassan,Egypt,Egypt,MF,24-132,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamdy Fathy,Egypt,Egypt,DF,31-264,1994,,1,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,87.0,96.7,87.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Hamza Abdelkarim,Egypt,Egypt,FW,18-170,2008,,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,15.0,16.7,,0,1,15.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Hossam Abdelmaguid,Egypt,Egypt,DF,25-051,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim Adel,Egypt,Egypt,MF,25-058,2001,Nordsjælland,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0,3.3,,0,1,3.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Karim Hafez,Egypt,Egypt,DF,30-100,1996,,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0,3.3,,0,1,3.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mahmoud Saber,Egypt,Egypt,MF,24-325,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marwan Attia,Egypt,Egypt,MF,27-312,1998,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
